"MARKET_CD","MARKET_NM","HSN_CD","HSN_NM","TOWN_CD","TOWN_NM","ROAD_CD","ROAD_NM","STORE_CD","STORE_NM","ADDR","ISOPEN","ZIP_CD"
"FM","全家便利商店","T","屏東縣","279","潮州鎮","","","7656","潮州福星店","屏東縣潮州鎮福星路３５１、３５３號１樓","Y","920"
"FM","全家便利商店","F","新北市","23","板橋區","","","8756","板橋國泰店","新北市板橋區國泰街３７號１樓","Y","220"
"FM","全家便利商店","B","臺中市","108","西屯區","","","16067","台中金福星店","台中市西屯區福星路６０１號","Y","407"
"FM","全家便利商店","B","臺中市","108","西屯區","","","11847","台中金工店","台中市西屯區工業區一路９８－１３０號","Y","407"
"FM","全家便利商店","Q","嘉義縣","176","朴子市","","","15986","朴子鴨母寮店","嘉義縣朴子市鴨母寮１之１８號","Y","613"
"FM","全家便利商店","Q","嘉義縣","175","太保市","","","10199","太保縣府店","嘉義縣太保市祥和三路東段２１２號一樓","Y","612"
"FM","全家便利商店","A","臺北市","3","中山區","","","6667","朱崙店","台北市中山區朱崙街６７號","Y","104"
"FM","全家便利商店","F","新北市","36","三峽區","","","768","三峽光明店","新北市三峽區光明路６號，８號１樓","Y","237"
"FM","全家便利商店","F","新北市","37","樹林區","","","10669","樹林欣榮店","新北市樹林區東榮街１０７號１樓","Y","238"
"FM","全家便利商店","F","新北市","38","鶯歌區","","","8699","鶯歌鶯桃店","新北市鶯歌區鶯桃路４５號１樓","Y","239"
"FM","全家便利商店","H","桃園市","76","平鎮區","","","12743","平鎮彩虹店","桃園市平鎮區延平路二段３４１號一樓（前段約１８坪）","Y","324"
"FM","全家便利商店","E","高雄市","235","三民區","","","8529","高雄鼎勇店","高雄市三民區鼎山街３００號．３０２號１樓","Y","807"
"FM","全家便利商店","F","新北市","24","汐止區","","","10079","汐止橋東店","新北市汐止區忠孝東路４０２號","Y","221"
"FM","全家便利商店","F","新北市","33","永和區","","","10270","永和樂華店","新北市永和區保平路１８巷１２號１樓","Y","234"
"FM","全家便利商店","O","新竹市","63","東區","","","2873","新竹食品店","新竹市東區食品路４７號１樓","Y","300"
"FM","全家便利商店","F","新北市","37","樹林區","","","6866","樹林學勤店","新北市樹林區學勤路５５０．５５２號１樓","Y","238"
"FM","全家便利商店","F","新北市","23","板橋區","","","6738","板橋勝文店","新北市板橋區仁化街４６號及４６之１號１樓","Y","220"
"FM","全家便利商店","P","雲林縣","200","元長鄉","","","7687","雲林元長店","雲林縣元長鄉長南村１３鄰中山路１１５號１樓","Y","655"
"FM","全家便利商店","J","新竹縣","66","竹北市","","","16043","竹北大漾店","新竹縣竹北市博愛南路９號１樓","Y","302"
"FM","全家便利商店","B","臺中市","124","沙鹿區","","","16045","沙鹿金智店","台中市沙鹿區成功東街４２、４４、４６號","Y","433"
"FM","全家便利商店","E","高雄市","250","鳳山區","","","16048","鳳山平等店","高雄市鳳山區平等路４１－１號","Y","830"
"FM","全家便利商店","D","臺南市","226","新市區","","","16046","新市遠科大店","台南市新市區中華路４９號","Y","744"
"FM","全家便利商店","K","苗栗縣","96","頭屋鄉","","","8678","頭屋雙龍店","苗栗縣頭屋鄉尖豐路１３５－２號","Y","362"
"FM","全家便利商店","B","臺中市","117","東勢區","","","3586","東勢嶺先店","台中市東勢區泰昌里東崎路５段３６７號１樓","Y","423"
"FM","全家便利商店","F","新北市","39","三重區","","","4972","三重福運店","新北市三重區三和路四段２５０號１樓","Y","241"
"FM","全家便利商店","F","新北市","40","新莊區","","","2458","新莊建興店","新北市新莊區建安街１８號１樓","Y","242"
"FM","全家便利商店","B","臺中市","109","南屯區","","","3100","台中黎明店","台中市南屯區三厝里黎明路二段４０６號","Y","408"
"FM","全家便利商店","H","桃園市","75","中壢區","","","321","中壢龍岡店","桃園市中壢區龍岡路二段１１５號","Y","320"
"FM","全家便利商店","H","桃園市","81","桃園區","","","1164","桃園建新店","桃園市桃園區建新街８８號","Y","330"
"FM","全家便利商店","H","桃園市","83","八德區","","","11458","八德忠勇店","桃園市八德區義勇街１０５號（八德東勇移店）","Y","334"
"FM","全家便利商店","D","臺南市","214","佳里區","","","14189","佳里中山店","台南市佳里區中山路１５５號","Y","722"
"FM","全家便利商店","E","高雄市","234","前鎮區","","","7094","高雄聖心店","高雄市前鎮區復興三路１４６號１樓","Y","806"
"FM","全家便利商店","B","臺中市","103","東區","","","3089","台中力行店","台中市東區力行路２１２號１樓","Y","401"
"FM","全家便利商店","A","臺北市","3","中山區","","","261","雙城店","台北市中山區雙城街１２之１號","Y","104"
"FM","全家便利商店","C","基隆市","14","信義區","","","16213","基隆信義店","基隆市信義區信二路２３６－２號","Y","201"
"FM","全家便利商店","F","新北市","24","汐止區","","","8671","汐止新水蓮店","新北市汐止區湖前街１１０巷９７弄２４號Ｂ１之１之２","Y","221"
"FM","全家便利商店","M","南投縣","165","鹿谷鄉","","","3690","鹿谷溪頭店","南投縣鹿谷鄉興產路２之３號１樓","Y","558"
"FM","全家便利商店","F","新北市","40","新莊區","","","2558","新莊昌盛店","新北市新莊區幸福里昌盛街６７號一樓","Y","242"
"FM","全家便利商店","A","臺北市","3","中山區","","","10989","金漾店","台北市中山區林森北路３０８號","Y","104"
"FM","全家便利商店","F","新北市","23","板橋區","","","11998","板橋聯翠店","新北市板橋區光武街２２號壹樓","Y","220"
"FM","全家便利商店","C","基隆市","17","安樂區","","","12668","基隆龍騰店","基隆市安樂區樂利三街８巷１６號底四層","Y","204"
"FM","全家便利商店","H","桃園市","86","蘆竹區","","","13641","蘆竹星光店","桃園市蘆竹區南順六街７２號","Y","338"
